                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84402,                 3.1416,                 1.0512,                0.01484,                0.73423,                0.07093,                0.06136,                0.74469,                 3.6877,                0.89396,                      0,                      0,                      0
                      2,                0.84658,                 2.8316,                 1.0243,                0.01484,                0.73423,                0.07223,                0.06217,                0.73839,                  3.681,                0.89381,             6.6656e-06,             6.6656e-06,             6.6656e-06
                      3,                0.80582,                  2.761,                 1.0118,                0.01483,                0.73423,                0.07282,                0.06311,                0.73468,                 3.6774,                0.89472,             1.3322e-05,             1.3322e-05,             1.3322e-05
                      4,                0.79672,                 2.8431,                0.95632,                 0.0148,                0.73423,                0.07162,                 0.0629,                0.72871,                 3.6723,                0.89241,              1.997e-05,              1.997e-05,              1.997e-05
                      5,                0.79454,                 2.8793,                 1.0281,                0.01474,                0.73423,                 0.0724,                0.06418,                0.72138,                  3.669,                0.89066,              2.661e-05,              2.661e-05,              2.661e-05
                      6,                0.80076,                 2.9038,                 1.0538,                0.01467,                0.72287,                0.07424,                0.06607,                0.71554,                 3.6695,                0.89093,              3.324e-05,              3.324e-05,              3.324e-05
                      7,                0.81098,                 2.7266,                0.99677,                0.01449,                 0.7115,                0.07244,                0.06493,                0.70496,                 3.6696,                0.89137,             3.9862e-05,             3.9862e-05,             3.9862e-05
                      8,                0.73864,                 2.8454,                0.96198,                 0.0143,                 0.7115,                0.07233,                0.06476,                 0.7119,                 3.6712,                0.89518,             4.6474e-05,             4.6474e-05,             4.6474e-05
                      9,                0.74835,                 2.8147,                0.93524,                0.01428,                 0.7115,                0.07254,                 0.0647,                0.71675,                 3.6757,                0.89978,             5.3078e-05,             5.3078e-05,             5.3078e-05
                     10,                0.71252,                  2.522,                 0.9788,                 0.0143,                 0.7115,                 0.0741,                0.06677,                0.72067,                 3.6842,                0.90211,             5.9673e-05,             5.9673e-05,             5.9673e-05
