                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 2.7373,                 4.3607,                 1.6596,                0.00951,                0.18824,                0.05364,                0.01632,                 2.7357,                 4.5385,                 1.6001,             0.00014582,             0.00014582,             0.00014582
                     34,                 2.7719,                 4.3089,                 1.6307,                0.00951,                0.18824,                0.05364,                0.01632,                 2.7357,                 4.5385,                 1.6001,              0.0001482,              0.0001482,              0.0001482
                     35,                 2.7858,                 4.3219,                 1.7047,                0.01096,                0.22078,                0.06074,                0.01677,                  2.666,                 4.5124,                  1.571,             0.00015045,             0.00015045,             0.00015045
                     36,                 2.6398,                 4.2739,                 1.5789,                0.01096,                0.22078,                0.06074,                0.01677,                  2.666,                 4.5124,                  1.571,             0.00015256,             0.00015256,             0.00015256
                     37,                 2.5518,                  4.127,                 1.5947,                0.01154,                0.22437,                0.06707,                0.02024,                 2.6062,                 4.4842,                 1.5469,             0.00015454,             0.00015454,             0.00015454
                     38,                 2.6387,                 4.2898,                 1.6202,                0.01154,                0.22437,                0.06707,                0.02024,                 2.6062,                 4.4842,                 1.5469,             0.00015639,             0.00015639,             0.00015639
                     39,                 2.4865,                 4.2046,                 1.5545,                  0.011,                0.22282,                0.07115,                0.02468,                 2.5118,                 4.4683,                  1.521,             0.00015811,             0.00015811,             0.00015811
                     40,                  2.467,                 4.1731,                 1.6126,                  0.011,                0.22282,                0.07115,                0.02468,                 2.5118,                 4.4683,                  1.521,             0.00015969,             0.00015969,             0.00015969
                     41,                 2.4875,                 4.1508,                 1.5429,                0.01032,                0.21903,                0.07672,                0.02567,                 2.4295,                 4.4479,                  1.497,             0.00016115,             0.00016115,             0.00016115
                     42,                 2.5983,                 4.1456,                 1.5509,                0.01032,                0.21903,                0.07672,                0.02567,                 2.4295,                 4.4479,                  1.497,             0.00016247,             0.00016247,             0.00016247
                     43,                  2.534,                  4.174,                 1.5358,                0.01041,                0.22316,                0.07714,                0.02514,                 2.3823,                 4.4277,                 1.4915,             0.00016366,             0.00016366,             0.00016366
                     44,                 2.5093,                 4.0072,                  1.453,                0.01041,                0.22316,                0.07714,                0.02514,                 2.3823,                 4.4277,                 1.4915,             0.00016471,             0.00016471,             0.00016471
                     45,                 2.3902,                 3.9559,                 1.5444,                0.01123,                0.24775,                0.07545,                0.02515,                 2.3532,                  4.387,                 1.4797,             0.00016564,             0.00016564,             0.00016564
                     46,                 2.2662,                 3.9476,                 1.4945,                0.01123,                0.24775,                0.07545,                0.02515,                 2.3532,                  4.387,                 1.4797,             0.00016643,             0.00016643,             0.00016643
                     47,                 2.5131,                 3.9845,                 1.5164,                  0.013,                0.27368,                0.07817,                0.02458,                 2.3412,                 4.3557,                  1.476,             0.00016709,             0.00016709,             0.00016709
                     48,                 2.3432,                 3.8468,                 1.5389,                  0.013,                0.27368,                0.07817,                0.02458,                 2.3412,                 4.3557,                  1.476,             0.00016762,             0.00016762,             0.00016762
                     49,                 2.3398,                 4.0407,                 1.5213,                0.01467,                0.29451,                0.10055,                0.02669,                 2.3308,                 4.3237,                 1.4684,             0.00016802,             0.00016802,             0.00016802
                     50,                 2.4365,                  3.855,                 1.5003,                0.01467,                0.29451,                0.10055,                0.02669,                 2.3308,                 4.3237,                 1.4684,             0.00016828,             0.00016828,             0.00016828
                     51,                 2.3976,                 3.6704,                 1.4526,                0.01505,                0.31497,                0.10744,                0.02994,                 2.3094,                 4.2614,                  1.453,             0.00016842,             0.00016842,             0.00016842
                     52,                 2.4872,                 3.6789,                 1.4287,                0.01505,                0.31497,                0.10744,                0.02994,                 2.3094,                 4.2614,                  1.453,             0.00016842,             0.00016842,             0.00016842
                     53,                 2.6141,                 3.8199,                   1.46,                0.01505,                0.31497,                0.10744,                0.02994,                 2.3094,                 4.2614,                  1.453,             0.00016829,             0.00016829,             0.00016829
                     54,                 2.2947,                  3.702,                 1.4741,                0.01546,                0.33012,                 0.1238,                0.03991,                 2.2654,                 4.1835,                 1.4275,             0.00016802,             0.00016802,             0.00016802
                     55,                 2.4078,                 3.5766,                 1.4546,                0.01546,                0.33012,                 0.1238,                0.03991,                 2.2654,                 4.1835,                 1.4275,             0.00016763,             0.00016763,             0.00016763
