                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0546,                 4.5178,                 0.9891,                0.00048,                0.01526,                0.00028,                  6e-05,                0.43227,                 4.2514,                 0.5908,                      0,                      0,                      0
                      2,                0.96205,                 4.5075,                0.90557,                0.00046,                0.01526,                0.00027,                  5e-05,                0.42769,                 4.2507,                 0.5898,             6.5379e-06,             6.5379e-06,             6.5379e-06
                      3,                0.97593,                 4.4115,                0.87948,                0.00045,                0.01526,                0.00026,                  5e-05,                0.41995,                 4.2442,                0.58791,             1.2812e-05,             1.2812e-05,             1.2812e-05
                      4,                 1.0636,                 4.6141,                0.93717,                0.00043,                0.01526,                0.00026,                  5e-05,                0.41247,                 4.2336,                0.58419,             1.8821e-05,             1.8821e-05,             1.8821e-05
                      5,                0.93401,                 4.4498,                0.89399,                0.00022,                0.00699,                0.00012,                  4e-05,                0.40414,                  4.229,                0.58159,             2.4567e-05,             2.4567e-05,             2.4567e-05
                      6,                0.92614,                 4.2792,                0.88997,                0.00022,                0.00699,                0.00012,                  4e-05,                0.39782,                 4.2259,                0.58009,             3.0048e-05,             3.0048e-05,             3.0048e-05
                      7,                0.83058,                 4.4003,                0.85036,                0.00069,                0.01836,                 0.0004,                  9e-05,                0.39686,                 4.2232,                0.57963,             3.5266e-05,             3.5266e-05,             3.5266e-05
                      8,                 0.8037,                 4.3945,                 0.8277,                0.00068,                0.01836,                0.00041,                  8e-05,                0.40564,                  4.222,                0.58075,             4.0219e-05,             4.0219e-05,             4.0219e-05
                      9,                0.91582,                 4.4828,                0.84505,                0.00109,                0.02485,                0.00068,                0.00011,                 0.4286,                 4.2207,                0.58345,             4.4908e-05,             4.4908e-05,             4.4908e-05
                     10,                 0.7492,                 4.3672,                0.77916,                0.00109,                0.02485,                0.00068,                0.00012,                 0.4614,                 4.2233,                0.58902,             4.9333e-05,             4.9333e-05,             4.9333e-05
                     11,                0.80138,                 4.2484,                0.83387,                0.00145,                0.03184,                0.00116,                0.00019,                0.50045,                 4.2308,                0.59725,             5.3493e-05,             5.3493e-05,             5.3493e-05
                     12,                0.81564,                 4.3108,                0.84138,                 0.0021,                0.04452,                0.00169,                0.00034,                 0.5479,                 4.2363,                 0.6075,              5.739e-05,              5.739e-05,              5.739e-05
                     13,                0.83221,                 4.3181,                0.80868,                 0.0019,                0.03884,                0.00125,                0.00043,                0.59344,                 4.2492,                0.62107,             6.1022e-05,             6.1022e-05,             6.1022e-05
                     14,                0.68873,                 4.2546,                 0.7533,                0.00143,                0.03234,                0.00107,                0.00048,                0.63483,                 4.2627,                0.63499,             6.4391e-05,             6.4391e-05,             6.4391e-05
                     15,                0.76182,                 4.1498,                0.78419,                0.00233,                0.05409,                0.00225,                0.00092,                0.67032,                 4.2668,                0.64516,             6.7495e-05,             6.7495e-05,             6.7495e-05
                     16,                0.71198,                 4.1291,                0.75201,                0.00295,                0.06677,                0.00337,                0.00184,                0.69788,                 4.2781,                0.65768,             7.0335e-05,             7.0335e-05,             7.0335e-05
                     17,                 0.7931,                   4.18,                0.78683,                0.00322,                0.07245,                0.00639,                0.00449,                0.72349,                 4.2776,                0.66511,             7.2911e-05,             7.2911e-05,             7.2911e-05
                     18,                0.69672,                 3.9863,                0.73955,                0.00322,                0.07245,                0.00639,                0.00449,                0.72349,                 4.2776,                0.66511,             7.5223e-05,             7.5223e-05,             7.5223e-05
                     19,                0.71356,                 4.1024,                0.74302,                0.00345,                0.08071,                0.01057,                0.00805,                 0.7402,                 4.2728,                0.67046,             7.7271e-05,             7.7271e-05,             7.7271e-05
                     20,                0.77292,                 4.0609,                0.76643,                0.00345,                0.08071,                0.01057,                0.00805,                 0.7402,                 4.2728,                0.67046,             7.9054e-05,             7.9054e-05,             7.9054e-05
                     21,                0.65786,                 4.1267,                0.71385,                0.00472,                0.10946,                0.01436,                0.01059,                0.74395,                 4.2597,                0.67158,             8.0574e-05,             8.0574e-05,             8.0574e-05
                     22,                0.68232,                 3.9637,                0.69909,                0.00472,                0.10946,                0.01436,                0.01059,                0.74395,                 4.2597,                0.67158,             8.1829e-05,             8.1829e-05,             8.1829e-05
                     23,                0.75131,                 4.0622,                0.73017,                0.00515,                0.12213,                0.01832,                0.01282,                0.74298,                 4.2388,                0.66704,              8.282e-05,              8.282e-05,              8.282e-05
                     24,                0.71264,                 4.0496,                 0.7217,                0.00515,                0.12213,                0.01832,                0.01282,                0.74298,                 4.2388,                0.66704,             8.3547e-05,             8.3547e-05,             8.3547e-05
                     25,                0.76413,                 4.0032,                0.75537,                0.00902,                0.19434,                0.03014,                0.02082,                0.74462,                 4.2192,                0.66385,              8.401e-05,              8.401e-05,              8.401e-05
                     26,                0.73106,                 3.8954,                0.73611,                0.00902,                0.19434,                0.03014,                0.02082,                0.74462,                 4.2192,                0.66385,             8.4209e-05,             8.4209e-05,             8.4209e-05
                     27,                0.81276,                 4.0875,                0.75934,                0.01041,                0.21945,                0.04177,                0.02481,                0.74275,                 4.1972,                0.66192,             8.4143e-05,             8.4143e-05,             8.4143e-05
                     28,                0.70193,                 4.0046,                0.70253,                0.01041,                0.21945,                0.04177,                0.02481,                0.74275,                 4.1972,                0.66192,             8.3814e-05,             8.3814e-05,             8.3814e-05
                     29,                0.73186,                 4.0288,                0.71471,                0.01498,                0.29874,                 0.0548,                0.03568,                0.73862,                 4.1769,                0.65528,              8.322e-05,              8.322e-05,              8.322e-05
                     30,                0.73313,                 3.9155,                0.72874,                0.01498,                0.29874,                 0.0548,                0.03568,                0.73862,                 4.1769,                0.65528,             8.2362e-05,             8.2362e-05,             8.2362e-05
                     31,                0.74638,                 3.7929,                0.75774,                0.01614,                0.33136,                0.06459,                 0.0434,                0.73946,                 4.1543,                0.65291,             8.1241e-05,             8.1241e-05,             8.1241e-05
                     32,                0.74955,                 3.9319,                 0.7116,                0.01614,                0.33136,                0.06459,                 0.0434,                0.73946,                 4.1543,                0.65291,             7.9855e-05,             7.9855e-05,             7.9855e-05
                     33,                 0.7429,                 3.8835,                0.72977,                0.01858,                0.38244,                0.07354,                0.04866,                0.74822,                 4.1325,                0.65199,             7.8204e-05,             7.8204e-05,             7.8204e-05
                     34,                0.78127,                 3.8366,                0.72614,                0.01858,                0.38244,                0.07354,                0.04866,                0.74822,                 4.1325,                0.65199,              7.629e-05,              7.629e-05,              7.629e-05
                     35,                0.72509,                 3.8002,                0.71807,                0.01931,                0.40832,                0.08072,                0.05216,                0.75096,                 4.1176,                 0.6526,             7.4112e-05,             7.4112e-05,             7.4112e-05
                     36,                0.77701,                  3.813,                0.71655,                0.01931,                0.40832,                0.08072,                0.05216,                0.75096,                 4.1176,                 0.6526,             7.1669e-05,             7.1669e-05,             7.1669e-05
                     37,                0.78642,                 3.7228,                0.75645,                0.02075,                0.43762,                0.08647,                0.05561,                0.76116,                 4.1065,                0.65701,             6.8962e-05,             6.8962e-05,             6.8962e-05
                     38,                 0.7963,                 3.8443,                0.76206,                0.02075,                0.43762,                0.08647,                0.05561,                0.76116,                 4.1065,                0.65701,             6.5992e-05,             6.5992e-05,             6.5992e-05
                     39,                0.72252,                 3.7816,                0.71964,                0.02182,                0.47336,                  0.093,                0.06068,                0.76418,                 4.0901,                0.65725,             6.2757e-05,             6.2757e-05,             6.2757e-05
                     40,                0.70082,                 3.6569,                0.72601,                0.02182,                0.47336,                  0.093,                0.06068,                0.76418,                 4.0901,                0.65725,             5.9258e-05,             5.9258e-05,             5.9258e-05
                     41,                 0.6448,                 3.4652,                0.67222,                 0.0211,                0.46922,                0.09363,                0.06095,                0.77047,                 4.0696,                0.65694,             5.5494e-05,             5.5494e-05,             5.5494e-05
                     42,                0.62727,                 3.6812,                0.64244,                 0.0211,                0.46922,                0.09363,                0.06095,                0.77047,                 4.0696,                0.65694,             5.1467e-05,             5.1467e-05,             5.1467e-05
                     43,                 0.6958,                 3.4588,                0.68593,                0.02285,                0.50732,                0.10061,                0.06421,                 0.7792,                 4.0448,                0.65582,             4.7176e-05,             4.7176e-05,             4.7176e-05
                     44,                0.66241,                 3.4988,                0.65026,                0.02285,                0.50732,                0.10061,                0.06421,                 0.7792,                 4.0448,                0.65582,              4.262e-05,              4.262e-05,              4.262e-05
                     45,                0.66083,                 3.3798,                0.68027,                0.02333,                0.52699,                0.10498,                0.06656,                0.78388,                 4.0242,                0.65525,               3.78e-05,               3.78e-05,               3.78e-05
                     46,                0.67169,                  3.551,                0.67411,                0.02333,                0.52699,                0.10498,                0.06656,                0.78388,                 4.0242,                0.65525,             3.2716e-05,             3.2716e-05,             3.2716e-05
                     47,                 0.6246,                 3.4427,                0.64506,                0.02455,                0.55365,                0.10699,                0.06824,                0.78195,                 4.0077,                0.65481,             2.7368e-05,             2.7368e-05,             2.7368e-05
                     48,                0.71694,                 3.4082,                0.66494,                0.02455,                0.55365,                0.10699,                0.06824,                0.78195,                 4.0077,                0.65481,             2.1756e-05,             2.1756e-05,             2.1756e-05
                     49,                0.68228,                 3.4749,                0.67594,                0.02472,                0.56014,                0.10931,                0.07025,                0.78029,                 3.9884,                0.65226,              1.588e-05,              1.588e-05,              1.588e-05
                     50,                0.67459,                 3.5159,                0.68489,                0.02472,                0.56014,                0.10931,                0.07025,                0.78029,                 3.9884,                0.65226,             9.7395e-06,             9.7395e-06,             9.7395e-06
